store,address,phone,address2,지역 시/군/구
동탄물류센터점,경기 화성시 동탄물류로 69,1577-9621,경기도 화성시 동탄물류로 69,화성시
모현센터점,"경기 용인시 처인구 모현읍 백옥대로2332번길 21-9,101호",1577-9621 소프트크림 판매점,"경기도 용인시 처인구 모현읍 백옥대로2332번길 21-9,101호",용인시처인구
서정인사이드점,경기 평택시 송탄2로 47,1577-9621 소프트크림 판매점,경기도 평택시 송탄2로 47,평택시
안산럭키점,"경기 안산시 상록구 정재로2길 5, 1층",1577-9621,"경기도 안산시 상록구 정재로2길 5, 1층",안산시상록구
여주현암점,경기 여주시 현암2길 28-10,1577-9621,경기도 여주시 현암2길 28-10,여주시
안양관평로점,경기 안양시 동안구 관평로327번길 23,1577-9621,경기도 안양시 동안구 관평로327번길 23,안양시동안구
군포첨단점,경기 군포시 번영로 44 삼덕빌딩 106호,1577-9621,경기도 군포시 번영로 44 삼덕빌딩 106호,군포시
안산원룸점,경기 안산시 상록구 삼태기로 6-1,1577-9621 소프트크림 판매점,경기도 안산시 상록구 삼태기로 6-1,안산시상록구
의정평화점,경기 의정부시 평화로484번길 18,1577-9621 소프트크림 판매점,경기도 의정부시 평화로484번길 18,의정부시
퇴계원역점,경기 남양주시 퇴계원면 경춘북로 544,1577-9621 소프트크림 판매점,경기도 남양주시 퇴계원면 경춘북로 544,남양주시
소사에이스점,경기 부천시 호현로 479,1577-9621 소프트크림 판매점,경기도 부천시 호현로 479,부천시
캠프통아일랜드점,경기 가평군 청평면 호반로 976,1577-9621,경기도 가평군 청평면 호반로 976,가평군
내유센터점,경기 고양시 덕양구 명봉산로6번길 20-5,1577-9621 소프트크림 판매점,경기도 고양시 덕양구 명봉산로6번길 20-5,고양시덕양구
영화센터점,경기 수원시 장안구 수성로382번길 14,1577-9621 소프트크림 판매점,경기도 수원시 장안구 수성로382번길 14,수원시 장안구
심곡제일점,경기 부천시 신흥로22번길 50,1577-9621,경기도 부천시 신흥로22번길 50,부천시
화성가재점,경기 화성시 팔탄면 삼천병마로 556,1577-9621,경기도 화성시 팔탄면 삼천병마로 556,화성시
탑동가온점,경기 수원시 권선구 탑동로48번길 12,1577-9621 소프트크림 판매점,경기도 수원시 권선구 탑동로48번길 12,수원시 권선구
고색산단2점,"경기 수원시 권선구 산업로 180 DH테크타워상가 121,122호",1577-9621 소프트크림 판매점,"경기도 수원시 권선구 산업로 180 DH테크타워상가 121,122호",수원시 권선구
고색산단1점,"경기 수원시 권선구 산업로 180 DH테크타워상가 115,116호",1577-9621,"경기도 수원시 권선구 산업로 180 DH테크타워상가 115,116호",수원시 권선구
인계복개천점,경기 수원시 팔달구 경수대로467번길 22,031-221-1999 소프트크림 판매점,경기도 수원시 팔달구 경수대로467번길 22,수원시 팔달구
안성중앙대학로점,"경기 안성시 대덕면 내리1길 3, 상가 101호",1577-9621 소프트크림 판매점,"경기도 안성시 대덕면 내리1길 3, 상가 101호",안성시
이천갈산우성점,경기 이천시 갈산로87번길 11,1577-9621,경기도 이천시 갈산로87번길 11,이천시
안양센트럴점,경기 안양시 만안구 냉천로175번길 22,1577-9621,경기도 안양시 만안구 냉천로175번길 22,안양시만안구
금곡산단점,경기 남양주시 진접읍 경복대로212번길 54,1577-9621,경기도 남양주시 진접읍 경복대로212번길 54,남양주시
