,매장 이름,매장 주소,지역 시/군/구,위도,경도
2323,GS25안산광양점,"경기 안산시 단원구 별망로453, 122호 (목내동 403-3, 광양프런티어밸리2)",안산시단원구,37.3039682,126.7754636
2324,GS25안산광장점,"경기 안산시 단원구 선부광장1로82, 1층 105호(선부3동 1076-6)",안산시단원구,37.33555090000001,126.8126562
2325,GS25안산구룡점,"경기 안산시 상록구 구룡로56, 1층(일동 113)",안산시상록구,37.3141588,126.8709206
2326,GS25안산그랑자이1차점,"경기 안산시 상록구 해양1로199, , 포트동 133호, 134호 (사동 1639-7)",안산시상록구,37.2953823,126.8207676
2327,GS25안산그린점,경기 안산시 단원구 민속공원로76(고잔동 757-2),안산시단원구,37.31217609999999,126.8389468
2328,GS25안산나이스점,경기 안산시 상록구 평안로2길8 (사동 1414),안산시상록구,37.2829687,126.8491534
2329,GS25안산늘봄점,"경기 안산시 단원구 고잔로18, 103호 (고잔1동 524, 늘봄스위트빌)",안산시단원구,37.3192013,126.8283799
2330,GS25안산다와점,"경기 안산시 상록구 장화로24, 101호(사2동 1407)",안산시상록구,37.2842655,126.8512154
2331,GS25안산다정점,"경기 안산시 단원구 원곡로26, 101~102호(원곡동 800)",안산시단원구,37.329422,126.7924511
2332,GS25안산대학로점,"경기 안산시 상록구 안산대학로174, 101호(일동 611-10)",안산시상록구,37.3083965,126.8722465
2333,GS25안산동명점,"경기 안산시 단원구 선부광장1로38, 106호(선부2동 1070-18, 상록타운)",안산시단원구,37.3365975,126.8093841
2334,GS25안산두리점,경기 안산시 단원구 달미로100(선부3동 1096-16),안산시단원구,37.34462800000001,126.8155176
2335,GS25안산로데오점,"경기 안산시 단원구 고잔1길48, 102호 (고잔동 540-3, 천혜빌딩)",안산시단원구,37.3179541,126.838612
2336,GS25안산매화점,"경기 안산시 상록구 매화로4길1, 101호(이동 574-5)",안산시상록구,37.3039984,126.8617045
2337,GS25안산벽산점,"경기 안산시 단원구 선부광장북로36, 101호(선부동 1082)",안산시단원구,37.3377616,126.811169
2338,GS25안산보네르점,"경기 안산시 단원구 안산천남로211, 101호(고잔동 778, 보네르빌리지)",안산시단원구,37.3083782,126.8399663
2339,GS25안산본오점,"경기 안산시 상록구 본원로85, 101호, 102호 (본오동 856-20)",안산시상록구,37.291869,126.8680756
2340,GS25안산본이로점,"경기 안산시 상록구 본이로1길3, 102호 (본오동 790-10)",안산시상록구,37.2951886,126.8711985
2341,GS25안산본점,"경기 안산시 상록구 샘골로148, 상가 130호(본오3동 872-19, 한미)",안산시상록구,37.2969502,126.8633864
2342,GS25안산부곡점,"경기 안산시 상록구 부곡로96, 102동 101호(부곡동 627-15, 다청림)",안산시상록구,37.3306128,126.862234
2343,GS25안산사동점,"경기 안산시 상록구 후곡5길31, 101호(사1동 1294-9)",안산시상록구,37.2958419,126.8491186
2344,GS25안산산호점,"경기 안산시 단원구 선부광장1로69, 상가 101호(선부3동 1081, 산호한양)",안산시단원구,37.33675119999999,126.8135581
2345,GS25안산삼익점,"경기 안산시 단원구 새뿔길52, 상가A동 105,106호 (신길동 1439)",안산시단원구,37.3366695,126.7772215
2346,GS25안산샘골로점,"경기 안산시 상록구 샘골로101, 101호 (본오동 882-12)",안산시상록구,37.2929012,126.8626759
2347,GS25안산석수점,"경기 안산시 단원구 석수로5길26, 103호 (선부동 1026-5)",안산시단원구,37.3427966,126.8046297
2348,GS25안산석호로점,"경기 안산시 상록구 석호로339, 1층 (본오동 827-4)",안산시상록구,37.29354900000001,126.8684046
2349,GS25안산석호중앙점,"경기 안산시 상록구 석호로99, 1층 (사동 1185-12)",안산시상록구,37.3025099,126.8473758
2350,GS25안산선부로점,경기 안산시 단원구 석수로4길14 (선부동 1037-10),안산시단원구,37.3419357,126.80629
2351,GS25안산선부점,"경기 안산시 단원구 선부로183, 106,107호 (선부동 1087-11)",안산시단원구,37.3419561,126.8153993
2352,GS25안산선암로점,"경기 안산시 상록구 선암로5, 102103호 (본오동 931-8)",안산시상록구,37.2898681,126.8608821
2353,GS25안산선일점,경기 안산시 단원구 지곡로2길31(선부2동 968-7),안산시단원구,37.3357918,126.8046336
2354,GS25안산성포점,"경기 안산시 상록구 성포로15, 상가 B동 101호(성포동 592, 선경)",안산시상록구,37.3255634,126.8432879
2355,GS25안산세원점,"경기 안산시 단원구 와동공원로182, 101호(와동 786)",안산시단원구,37.3477639,126.8219479
2356,GS25안산송호점,경기 안산시 상록구 송호5길8(이동 650-1),안산시상록구,37.3128526,126.846109
2357,GS25안산수암점,경기 안산시 상록구 수암길33-7 (수암동 493-1),안산시상록구,37.3626239,126.8790406
2358,GS25안산스마트점,경기 안산시 단원구 산단로325 (신길동 1229),안산시단원구,37.3233135,126.7847762
2359,GS25안산시랑점,경기 안산시 상록구 충장로671(월피동 469-1),안산시상록구,37.3368841,126.8555942
2360,GS25안산신길고점,"경기 안산시 단원구 신길로50, 101호 (신길동 1574,상가동)",안산시단원구,37.3338032,126.7887756
2361,GS25안산신길점,"경기 안산시 단원구 신길중앙로1길28, 1층 102호 (신길동 1395-6)",안산시단원구,37.3368189,126.7610999
2362,GS25안산신영점,경기 안산시 상록구 용신로381(본오3동 874-12),안산시상록구,37.3019057,126.8643766
2363,GS25안산신우점,"경기 안산시 상록구 감골로83, 분산상가 105호, 106호 (사동 1344-1)",안산시상록구,37.2888935,126.8542013
2364,GS25안산썬라이즈점,"경기 안산시 단원구 광덕2로193-19, 174호(고잔동 768-4, 썬라이즈빌딩)",안산시단원구,37.3116667,126.8319581
2365,GS25안산영화점,"경기 안산시 상록구 선진4길43, 1층(사2동 1471-9)",안산시상록구,37.2801941,126.8521016
2366,GS25안산예대원룸점,"경기 안산시 상록구 예술대학로209, , 101호, 102호 (월피동 505-1)",안산시상록구,37.3349214,126.8417767
2367,GS25안산예술점,"경기 안산시 상록구 안산천서로6길28, 1층 (월피동 484-1)",안산시상록구,37.3363255,126.8486355
2368,GS25안산와동점,경기 안산시 단원구 와동공원로127(와동 808-7),안산시단원구,37.3428804,126.8211586
2369,GS25안산위브점,"경기 안산시 단원구 원선1로38, 상가동 1층 114, 113-1호 (초지동 604)",안산시단원구,37.3262273,126.8040359
2370,GS25안산이동점,"경기 안산시 상록구 광덕1로354, 106호 (이동 717-5, 브라이튼빌오피스텔)",안산시상록구,37.3065921,126.8492661
2371,GS25안산이호로점,"경기 안산시 상록구 이호로51, 102호 (본오동 944-6)",안산시상록구,37.2872205,126.8625415
2372,GS25안산인우빌점,"경기 안산시 상록구 석호공원로69, B01호 (사1동 1197-4, 인우빌)",안산시상록구,37.3016511,126.8510773
2373,GS25안산장수점,"경기 안산시 상록구 반석로4길52, 1,2,3호(1층코너) (본오동)",안산시상록구,37.3004932,126.873471
