,매장 이름,매장 주소,지역구,위도,경도
526,GS25구로벚꽃점,서울 구로구 벚꽃로70길1 (구로동 406-6),구로구,37.4926475,126.8803197
527,GS25구로벤처점,"서울 구로구 디지털로285, 104호 (구로3동 212-1, 에이스트윈타워1)",구로구,37.4844473,126.8944933
528,GS25구로빌란트점,"서울 구로구 디지털로32길30, 102호 (구로동 222-7)",구로구,37.4833471,126.8965154
529,GS25구로사거리점,"서울 구로구 경서로55, 1층 일부호 (고척동 136-6)",구로구,37.50197,126.8588889
530,GS25구로사랑점,"서울 구로구 경인로661, 154호(신도림동 337, 대우미래사랑시티)",구로구,37.5093957,126.8877258
531,GS25구로삼성점,"서울 구로구 디지털로33길27, 103호(구로3동 197-5, 삼성IT밸리)",구로구,37.4860113,126.8946614
532,GS25구로새싹점,서울 구로구 공원로7길18 (구로동 547-11),구로구,37.5019225,126.887917
533,GS25구로성보점,서울 구로구 가마산로229 (구로동 437-1),구로구,37.4942102,126.8863532
534,GS25구로성우점,"서울 구로구 경인로20나길30, 104호(오류1동 46-1, 이좋은집)",구로구,37.4949392,126.8420705
535,GS25구로솔보점,서울 구로구 서해안로2102 (항동 119-6),구로구,37.4800626,126.8234693
536,GS25구로신화점,서울 구로구 구로중앙로28길35-2 (구로동 112-41),구로구,37.49985,126.8877181
537,GS25구로싸이언점,"서울 구로구 디지털로34길55, 116호(구로3동 811, 코오롱싸이언스밸리2차)",구로구,37.4842333,126.8992725
538,GS25구로아울렛점,"서울 구로구 경인로43길18, 1층 (고척1동 85-20)",구로구,37.4973918,126.8620618
539,GS25구로연지점,"서울 구로구 오리로1102-10, 상가동 1층 101호 (천왕동 7-1, 천왕연지타운2단지아파트)",구로구,37.4828739,126.8442941
540,GS25구로영서점,"서울 구로구 도림천로12길3, 2층 (구로동 154-7)",구로구,37.4900865,126.8955071
541,GS25구로영흥점,서울 구로구 새말로30(구로5동 571-19),구로구,37.5023985,126.8843123
542,GS25구로오류점,"서울 구로구 오류로54 (오류2동 168-7, 성민빌딩)",구로구,37.4895171,126.8400474
543,GS25구로용마점,"서울 구로구 오리로1316, 1층 (궁동 279)",구로구,37.4987742,126.8293427
544,GS25구로유앤아이점,"서울 구로구 가마산로87, 제상가동 제 1층 104호 (구로동 1281)",구로구,37.4862802,126.8759913
545,GS25구로으뜸점,서울 구로구 오리로13길64 (오류동 245-1),구로구,37.4883002,126.8306753
546,GS25구로은혜점,서울 구로구 중앙로15길87 (고척동 220-16),구로구,37.5068624,126.8548592
547,GS25구로이편한점,"서울 구로구 신도림로16, 101호(신도림동 642, 대림2차)",구로구,37.5107088,126.9072529
548,GS25구로제일점,"서울 구로구 구일로4길33, 상가동 103호(구로1동 685-215)",구로구,37.4919882,126.875787
549,GS25구로중앙로점,서울 구로구 중앙로3길12 (고척동 76-22),구로구,37.5001925,126.8629331
550,GS25구로중앙유통점,"서울 구로구 경인로53길22, 106호(구로2동 608-2)",구로구,37.50223099999999,126.8766265
551,GS25구로지벨리몰점,서울 구로구 디지털로300 (구로3동 188-25),구로구,37.4847961,126.8966297
552,GS25구로지타워몰점,"서울 구로구 디지털로26길38, 지하1층 B101호 (구로동 832)",구로구,37.4814128,126.8960861
553,GS25구로진성점,"서울 구로구 도림천로336, 1층 (구로동 73-10, 진성빌딩)",구로구,37.4949865,126.8937298
554,GS25구로천왕점,"서울 구로구 천왕로56, 상가 106,107호 (천왕동 278, 천왕이펜하우스3단지)",구로구,37.4803813,126.8415075
555,GS25구로코업점,"서울 구로구 경인로20가길19, 1층 101호 (오류동 55-42, 코업 시티 호텔 스테이코)",구로구,37.4889261,126.8253725
556,GS25구로타운점,"서울 구로구 가마산로23길10, 1층 現공실(구로5동 103)",구로구,37.4960268,126.8892337
557,GS25구로타워점,"서울 구로구 디지털로273, 104호 (구로동 212-30, 에이스트윈타워2차)",구로구,37.4839163,126.8940805
558,GS25구로푸르뫼점,서울 구로구 고척로85 (개봉동 60-101),구로구,37.5009294,126.8436121
559,GS25구로하나점,"서울 구로구 오류로8가길6, 103,104호 (오류동 156-1)",구로구,37.4911561,126.8424552
560,GS25구로하우비점,"서울 구로구 구로중앙로28길73, 101호 (구로동 110-5, 구로하우비)",구로구,37.5007554,126.8893254
561,GS25구로하이앤드점,"서울 구로구 디지털로26길61 (구로3동 222-14, 에이스하이엔드타워2차)",구로구,37.48076,126.89565
562,GS25구로한일점,"서울 구로구 중앙로15길151, 101동 105호(고척2동 337, 한일유앤아이)",구로구,37.5079098,126.8512827
563,GS25구로행복점,"서울 구로구 연동로13길56, 1층 일부 (항동 16-3)",구로구,37.4853741,126.8194919
564,GS25구로허브점,"서울 구로구 구일로10길27, B동 105호(구로1동 650-4, SK허브수지)",구로구,37.4958336,126.87265
565,GS25구로혁신점,"서울 구로구 도림로69, 1층 (구로4동 313-119)",구로구,37.4896635,126.8908488
566,GS25구로현대점,"서울 구로구 신도림로19길16, 1층 現현대마트(신도림동 641)",구로구,37.5119989,126.8840088
567,GS25구로화원점,서울 구로구 구로동로217(구로2동 486-53),구로구,37.4979088,126.8823254
568,GS25구립강서점,"서울 강서구 허준로95-9, 1층 (가양동 1472)",강서구,37.5673188,126.8517055
569,GS25구산부일점,"서울 은평구 갈현로15길24, 1층 (구산동 176)",은평구,37.6079312,126.9082467
570,GS25구산예일점,"서울 은평구 서오릉로11길14, 1층 (구산동 6-17)",은평구,37.611198,126.9145597
571,GS25구산점,서울 은평구 서오릉로178(갈현2동 489-23),은평구,37.613127,126.9138657
572,GS25구산중앙점,"서울 은평구 연서로11길20-5, 1층 (구산동 18-20)",은평구,37.6088448,126.9132212
573,GS25구의강변점,서울 광진구 구의강변로64(구의3동 589-10),광진구,37.5361506,127.093086
574,GS25구의동국점,서울 광진구 광나루로36길28 (구의1동 235-11),광진구,37.5436798,127.086307
575,GS25구의무학점,"서울 광진구 아차산로51길86, 1층 (구의1동 248-93)",광진구,37.5406627,127.0853197
576,GS25구의미가로점,서울 광진구 아차산로51길41 (구의동 252-4),광진구,37.5388719,127.0848086
577,GS25구의바우점,서울 광진구 아차산로65길78 (구의동 204-27),광진구,37.5427675,127.0913809
578,GS25구의법원점,"서울 광진구 아차산로395, 106호(구의1동 246-3, 민도빌딩)",광진구,37.5375242,127.0863561
579,GS25구의새한점,서울 광진구 아차산로57길41(구의1동 241-96),광진구,37.5403663,127.0884747
580,GS25구의성진점,"서울 광진구 구의강변로45, 103호(구의3동 593-15, 성진프라자빌딩)",광진구,37.5348617,127.0912641
581,GS25구의센터점,"서울 광진구 자양로51길22, 1층 (구의동 28-40, 성보빌딩)",광진구,37.5539829,127.0924535
582,GS25구의스타일점,서울 광진구 광나루로52길98 (구의동 220-52),광진구,37.539178,127.0905984
583,GS25구의스타점,서울 광진구 광나루로30나길14 (구의동 643-1),광진구,37.543496,127.082361
584,GS25구의창원점,서울 광진구 자양로30길79 (구의동 226-18),광진구,37.5429974,127.0892993
585,GS25구의타운점,"서울 광진구 구의강변로96, 상가 107,8호(구의3동 610, 현대)",광진구,37.5384531,127.0946536
